,18~20_ride,18~20_ride,18~20_ride
18~20_ride,1.0,0.8084910457028543,0.9521729443194529
18~20_ride,0.8084910457028543,1.0,0.7284315781067139
18~20_ride,0.9521729443194529,0.7284315781067139,1.0
